"RowNumNumRep","Var","flowering23yn","flowering12yn","flowering7yn","flowering4yn","nodesize_mean","spurdiam_mean"
"17.2.R4","Ugni blanc/Trebbiano",0,0,1,1,3.205,6.79
"21.9.R3","Gruner Veltiner",0,0,0,1,3.725,4.765
"12.7.R2","Gamay Noir",1,1,1,1,2.865,3.795
"44.1.R1","Ruby Seedless",0,0,1,1,3.94,9.23
"20.5.R7","Gewurtztraminer",0,0,1,1,2.2875,4.46
"14.1.R6","Cabernet Sauvignon",0,0,1,1,3.965,5.145
"39.3.R2","Calzin",0,0,1,1,3.5925,6.725
"24.9.R4","Dolcetto",0,0,1,1,4.1275,5.37
"27.1.R3","Coda di Volpe",0,0,1,1,3.5325,5.265
"18.3.R1","Counoise",0,0,1,1,5,8.08
"14.1.R10","Cabernet Sauvignon",0,0,1,1,3.055,4.145
"39.7.R4","Carnelian",0,0,1,1,2.695,4.065
"42.7.R6","Early Muscat",0,0,1,1,2.22,3.09
"17.3.R4","Alicante Bouchet",0,0,1,1,4.195,7.78
"22.1.R7","Rotgipfler",0,0,1,1,3.025,6.54
"14.1.R1","Cabernet Sauvignon",0,0,1,1,2.715,5.12
"18.5.R2","Durif1",0,0,1,1,3.3,4.56
"24.1.R9","Barbera",0,0,1,1,3.3475,4.89
"12.1.R1","Aligote",0,0,1,1,3.015,5
"22.9.R3","Durif2",0,0,1,1,3.54,6.745
"24.1.R8","Barbera",0,0,1,1,4.2525,5.165
"26.6.R1","Sangiovese",0,0,1,1,2.905,4.43
"13.3.R3","Pinot gris",0,0,1,1,3.485,4.035
"13.9.R2","Cabernet franc",0,0,1,1,4.06,6.08
"15.3.R2","Merlot",0,0,1,1,4.745,6.52
"20.5.R2","Gewurtztraminer",0,0,1,1,2.925,4.96
"40.9.R3","Ruby Cabernet",1,1,1,1,2.835,7.15
"38.7.R6","Verdelho",0,0,0,0,3.715,5.29
"20.2.R6","Valdepenas",0,0,0,0,3.49666666666667,5.16
"34.5.R1","Morrastel",0,0,1,1,4.11,5.5
"29.3.R8","Schiopettino",0,0,1,1,3.615,6.07
"26.6.R6","Sangiovese",0,0,1,1,4.01,5.155
"16.1.R6","Sauvignon blanc",0,0,1,1,4.55,5.73
"42.7.R4","Early Muscat",0,0,1,1,3.055,5.13
"32.7.R4","Pinotage",0,0,1,1,4.345,6.42
"18.3.R6","Counoise",0,0,1,1,4.19,5.805
"29.3.R1","Schiopettino",0,0,1,1,3.635,6.15
"12.7.R1","Gamay Noir",0,1,1,1,3.8875,4.98
"19.9.R5","Syrah",0,0,1,1,3.88,4.95
"40.9.R7","Ruby Cabernet",0,0,1,1,3.845,4.85
