"Date","RowNum","Num","Rep","RowNumNumRep","EL_stem1","EL_stem2","moist_1","moist_2","moist_3","notes","X","days","Var"
2016-08-23,22,1,"R7","22.1.R7",1,NA,10.7,11.7,11.8,"",NA,8,"Rotgipfler"
2016-08-23,14,1,"R1","14.1.R1",1,1,8.5,8.8,8.5,"",NA,8,"Cabernet Sauvignon"
2016-08-23,18,5,"R2","18.5.R2",2,NA,9.1,8.8,9.6,"",NA,8,"Durif1"
2016-08-23,24,1,"R9","24.1.R9",1,1,8.9,9.4,8.9,"",NA,8,"Barbera"
2016-08-23,12,1,"R1","12.1.R1",1,1,16.6,14.1,13.3,"",NA,8,"Aligote"
2016-08-23,22,9,"R3","22.9.R3",1,1,11,10.5,9.8,"",NA,8,"Durif2"
2016-08-23,24,1,"R8","24.1.R8",1,1,10.2,10.1,9.8,"",NA,8,"Barbera"
2016-08-23,26,6,"R1","26.6.R1",1,NA,10.4,8.8,9.5,"",NA,8,"Sangiovese"
2016-08-23,13,3,"R3","13.3.R3",1,1,12.5,10.7,13,"",NA,8,"Pinot gris"
2016-08-23,13,9,"R2","13.9.R2",2,NA,9,9.7,8.6,"",NA,8,"Cabernet franc"
2016-08-23,15,3,"R2","15.3.R2",1,NA,9.1,8.8,8.7,"",NA,8,"Merlot"
2016-08-23,20,5,"R2","20.5.R2",1,1,9.4,12.8,11.2,"",NA,8,"Gewurtztraminer"
2016-08-23,40,9,"R3","40.9.R3",1,NA,11.6,11.6,12.6,"",NA,8,"Ruby Cabernet"
2016-08-23,38,7,"R6","38.7.R6",1,NA,8.8,9.3,9.4,"",NA,8,"Verdelho"
2016-08-23,20,2,"R6","20.2.R6",1,NA,13.8,10.9,13.6,"",NA,8,"Valdepenas"
2016-08-23,34,5,"R1","34.5.R1",1,1,11.3,11.3,11.4,"",NA,8,"Morrastel"
2016-08-23,29,3,"R8","29.3.R8",2,NA,9.7,11.2,10.5,"",NA,8,"Schiopettino"
2016-08-23,26,6,"R6","26.6.R6",1,1,10.5,12.2,11.8,"",NA,8,"Sangiovese"
2016-08-23,16,1,"R6","16.1.R6",1,1,11.3,9.2,10.1,"",NA,8,"Sauvignon blanc"
2016-08-23,42,7,"R4","42.7.R4",1,NA,9.6,9.2,9.3,"",NA,8,"Early Muscat"
2016-08-23,32,7,"R4","32.7.R4",1,1,10.7,11,11,"",NA,8,"Pinotage"
2016-08-23,18,3,"R6","18.3.R6",1,1,10.7,12.1,14,"",NA,8,"Counoise"
2016-08-23,29,3,"R1","29.3.R1",1,1,10.3,9.4,9.6,"",NA,8,"Schiopettino"
2016-08-23,12,7,"R1","12.7.R1",1,2,11.4,12.6,11.6,"",NA,8,"Gamay Noir"
2016-08-23,19,9,"R5","19.9.R5",1,NA,10.1,12.2,11.5,"",NA,8,"Syrah"
2016-08-23,40,9,"R7","40.9.R7",1,1,8.9,8.8,11.7,"",NA,8,"Ruby Cabernet"
2016-08-23,18,7,"R2","18.7.R2",1,NA,9.4,9,9.3,"",NA,8,"Marsanne"
2016-08-23,34,1,"R3","34.1.R3",1,NA,9.4,10.2,8.9,"",NA,8,"Macabeo"
2016-08-23,32,3,"R2","32.3.R2",1,2,9.8,9.8,9.2,"",NA,8,"Zinfandel/Primitivo"
2016-08-23,22,7,"R8","22.7.R8",1,1,12.2,11.4,13.7,"",NA,8,"Furmint"
2016-08-23,17,3,"R6","17.3.R6",1,NA,12.1,9.6,10.6,"",NA,8,"Alicante Bouchet"
2016-08-23,14,1,"R7","14.1.R7",1,1,10.3,11,9.7,"",NA,8,"Cabernet Sauvignon"
2016-08-23,35,3,"R6","35.3.R6",1,NA,10.6,13.3,10.3,"",NA,8,"Tempranillo"
2016-08-23,20,4,"R6","20.4.R6",1,NA,12.3,12.9,12.1,"",NA,8,"Viognier"
2016-08-23,42,7,"R2","42.7.R2",1,1,11.7,10.7,10.1,"",NA,8,"Early Muscat"
2016-08-23,16,1,"R7","16.1.R7",1,1,13.2,13.1,13.4,"",NA,8,"Sauvignon blanc"
2016-08-23,17,3,"R2","17.3.R2",1,1,9.1,10,9.5,"",NA,8,"Alicante Bouchet"
2016-08-23,21,9,"R4","21.9.R4",1,NA,10.4,9,10.5,"",NA,8,"Gruner Veltiner"
2016-08-23,28,7,"R5","28.7.R5",1,1,12.3,12.4,10.2,"",NA,8,"Refosco"
2016-08-23,14,1,"R5","14.1.R5",1,1,13.9,13.7,15,"",NA,8,"Cabernet Sauvignon"
2016-08-23,27,1,"R1","27.1.R1",1,1,9.4,8.7,10,"",NA,8,"Coda di Volpe"
2016-08-23,20,4,"R4","20.4.R4",1,1,11,11.1,11.1,"",NA,8,"Viognier"
2016-08-23,19,9,"R9","19.9.R9",1,2,10.6,10.4,10.4,"",NA,8,"Syrah"
2016-08-23,18,1,"R7","18.1.R7",1,NA,10.8,11.1,8.9,"",NA,8,"Cinsault"
2016-08-23,44,1,"R6","44.1.R6",1,NA,10.1,11.4,12.2,"",NA,8,"Ruby Seedless"
2016-08-23,18,7,"R1","18.7.R1",1,1,8.5,10.2,11.3,"",NA,8,"Marsanne"
2016-08-23,39,7,"R8","39.7.R8",1,NA,11.3,12,11.5,"",NA,8,"Carnelian"
2016-08-23,43,3,"R3","43.3.R3",1,1,9.5,11.2,10.3,"",NA,8,"July Muscat"
2016-08-23,19,7,"R2","19.7.R2",1,1,12.6,12.1,11.6,"",NA,8,"Roussanne"
2016-08-23,18,5,"R1","18.5.R1",1,2,11.5,9.9,9.8,"",NA,8,"Durif1"
2016-08-23,12,7,"R6","12.7.R6",1,1,7.9,9.6,9.5,"",NA,8,"Gamay Noir"
2016-08-23,13,3,"R6","13.3.R6",1,2,9,8.7,9.9,"",NA,8,"Pinot gris"
2016-08-23,13,9,"R3","13.9.R3",1,NA,8.9,8.7,9.1,"",NA,8,"Cabernet franc"
2016-08-23,25,9,"R1","25.9.R1",1,1,12.3,12.4,12.3,"",NA,8,"Nebbiolo"
2016-08-23,28,7,"R1","28.7.R1",1,1,8.9,9.9,9.1,"",NA,8,"Refosco"
2016-08-23,12,3,"R5","12.3.R5",1,1,12.4,10.5,11.6,"",NA,8,"Auxerrois"
2016-08-23,21,9,"R2","21.9.R2",1,1,13.6,10.7,10.3,"",NA,8,"Gruner Veltiner"
2016-08-23,18,7,"R8","18.7.R8",1,NA,11.7,12.3,13.3,"",NA,8,"Marsanne"
2016-08-23,20,2,"R2","20.2.R2",1,1,11.1,10.3,11.4,"",NA,8,"Valdepenas"
2016-08-23,22,9,"R4","22.9.R4",1,1,9.7,11.1,10.7,"",NA,8,"Durif2"
2016-08-23,43,3,"R1","43.3.R1",1,NA,10,10.4,9.3,"",NA,8,"July Muscat"
2016-08-23,29,7,"R4","29.7.R4",1,1,10.8,10.4,11,"",NA,8,"Tocai Friulano"
2016-08-23,12,5,"R6","12.5.R6",1,NA,11.6,11.7,11.4,"",NA,8,"Chardonnay"
2016-08-23,13,3,"R7","13.3.R7",1,NA,13.4,12,13.7,"",NA,8,"Pinot gris"
2016-08-23,13,5,"R5","13.5.R5",2,NA,10.1,10.5,9.4,"",NA,8,"Pinot  Meunier"
2016-08-23,27,1,"R5","27.1.R5",1,NA,10.9,10.8,11.8,"",NA,8,"Coda di Volpe"
2016-08-23,18,7,"R3","18.7.R3",1,NA,12.6,11.4,11.4,"",NA,8,"Marsanne"
2016-08-23,22,7,"R2","22.7.R2",1,1,10.2,10.2,9.9,"",NA,8,"Furmint"
2016-08-23,21,9,"R7","21.9.R7",1,NA,11.4,10.6,11.5,"",NA,8,"Gruner Veltiner"
2016-08-23,15,3,"R4","15.3.R4",1,NA,13.2,11.8,11.4,"",NA,8,"Merlot"
2016-08-23,32,7,"R1","32.7.R1",1,NA,10.2,11.3,8.6,"",NA,8,"Pinotage"
