"plantID","variety","stage","doy","m","intercept","n"
"29.4","Schiopettino","budburst",74.390836770772,1.72142015321155,62.3408956982911,7
"29.5","Suavis","budburst",73.4639574262216,1.78761490082245,60.9506531204644,7
"29.6","Suavis","budburst",72.9197791490744,1.82591750568366,60.1383566092887,7
"29.7","Tocai Friulano","budburst",76.6038508807866,2.06595657517411,62.1421548545678,7
"29.8","Tocai Friulano","budburst",78.0857697812308,2.03976691883051,63.8074013494173,7
"29.9","Trebbiano toscano","budburst",85.5676688598318,2.30790372282835,69.4123428000333,8
"29.10","Trebbiano toscano","budburst",86.2151364531558,2.34389946544125,69.807840195067,8
"30.1","Verdello","budburst",75.20371706965,1.91140382533381,61.8238902923133,7
"30.2","Verdello","budburst",75.7934630038099,2.01163023862041,61.712051333467,7
"30.3","Durif","budburst",NA,NA,NA,NA
"30.4","Durif","budburst",NA,NA,NA,NA
"30.5","Vespolina","budburst",72.8460810597697,1.79451190663933,60.2844977132944,7
"30.6","Vespolina","budburst",72.8409344602137,1.79612501993303,60.2680593206825,7
"30.7","Aglicanico","budburst",79.13313795269,1.96598283441491,65.3712581117857,7
"30.8","Aglicanico","budburst",79.5582750582751,2.07237762237762,65.0516317016317,7
"30.9","Aleatico","budburst",75.4502242152466,1.92780269058296,61.9556053811659,7
"30.10","Aleatico","budburst",74.5204918032787,1.97836446816622,60.6719405261151,7
"31.1","Durif","budburst",NA,NA,NA,NA
"31.2","Durif","budburst",NA,NA,NA,NA
"31.3","Montepulciano","budburst",NA,NA,NA,NA
"31.4","Montepulciano","budburst",83.7149708256734,2.38853808648389,66.9952042202861,8
"31.5","Durif","budburst",NA,NA,NA,NA
"31.6","Durif","budburst",NA,NA,NA,NA
"31.7","Negramaro","budburst",77.6688453159042,1.89542483660131,64.400871459695,7
"31.8","Durif","budburst",NA,NA,NA,NA
"31.9","Negro Amaro","budburst",78.7301503561066,2.31587971511475,62.5189923503033,8
"31.10","Negro Amaro","budburst",82.7108516483516,2.1717032967033,67.5089285714286,8
"32.1","Ribolla gialla","budburst",75.6564789818743,1.97464327034323,61.8339760894717,7
"32.2","Ribolla gialla","budburst",75.7950758978156,1.94344687152906,62.1909477971122,7
"32.3","Zinfandel/Primitivo","budburst",76.7403031654035,2.13631297369594,61.7861123495319,7
"32.4","Zinfandel/Primitivo","budburst",74.5855327468231,1.81964809384164,61.8479960899316,7
"32.5","Rkatsiteli","budburst",74.785926476049,1.93891570738953,61.2135165243223,7
"32.6","Rkatsiteli","budburst",74.9040023201856,1.97476798143852,61.080626450116,7
"32.7","Pinotage","budburst",70.8264058679707,1.70904645476773,58.8630806845966,6
"32.8","Pinotage","budburst",73.7303545511093,2.07474600870827,59.2071324901514,7
"32.9","Durif","budburst",NA,NA,NA,NA
"32.10","Durif","budburst",NA,NA,NA,NA
"33.1","Durif","budburst",NA,NA,NA,NA
"33.2","Durif","budburst",NA,NA,NA,NA
"33.3","Albillo Real","budburst",73.7494080996885,1.72261682242991,61.6910903426791,6
"33.4","Albillo Real","budburst",73.383573363753,1.83088549836019,60.5673748752317,6
"33.5","Graciano","budburst",81.1730176943052,2.16951506733498,65.9864122229603,8
"33.6","Graciano","budburst",80.2942659941598,2.28125829572604,64.3254579240775,8
"33.7","Grenache Noir","budburst",NA,NA,NA,NA
"33.8","Grenache Noir","budburst",NA,NA,NA,NA
"33.9","Juan Garcia","budburst",77.4838474174119,1.90326701952911,64.1609782807082,7
"33.10","Juan Garcia","budburst",82.8020958083832,2.35419161676647,66.3227544910179,8
"34.1","Macabeo","budburst",78.8533732317737,2.37568008705114,62.2236126224157,8
"34.2","Macabeo","budburst",77.9562996594779,2.44580022701476,60.8356980703746,8
"34.3","Mourvedre","budburst",75.3645217391305,1.87069565217391,62.2696521739131,7
"34.4","Mourvedre","budburst",NA,NA,NA,NA
"34.5","Morrastel","budburst",79.5182018079648,2.20913755191791,64.0542389445395,7
"34.6","Morrastel","budburst",81.8663710883126,2.31716244780121,65.6462339537042,8
"34.7","Palomino","budburst",75.4325309992706,1.93873085339169,61.8614150255288,7
"34.8","Palomino","budburst",78.5257548845471,2.25399644760213,62.7477797513321,8
"34.9","Parellada","budburst",76.9401553775188,2.24872541879097,61.199077445982,8
"34.10","Parellada","budburst",75.9966751872442,2.43387018929982,58.9595838621454,8
"35.1","Pedro Ximenez","budburst",74.7427486187845,1.86982044198895,61.6540055248619,7
"35.2","Pedro Ximenez","budburst",73.737267825045,1.75029958058718,61.4851707609347,7
"35.3","Tempranillo","budburst",74.8273423198536,1.82850723914129,62.0277916458645,7
"35.4","Tempranillo","budburst",76.5561901252764,1.92363669859985,63.0907332350774,7
"35.5","Verdejo","budburst",74.2013684520306,1.7315332548558,62.08063566804,7
"35.6","Verdejo","budburst",73.0267743979721,1.79134980988593,60.4873257287706,7
"35.7","Castelao","budburst",73.5262796289935,1.82669185846788,60.7394366197183,7
"35.8","Castelao","budburst",75.4389767754965,2.35658027600135,58.942914843487,8
"35.9","Cornifesto","budburst",80.2358379806281,2.38142060463751,63.5658937481655,8
"35.10","Cornifesto","budburst",NA,NA,NA,NA
"36.1","Gouveio","budburst",74.8775278940028,1.89199790794979,61.6335425383543,7
"36.2","Gouveio","budburst",74.3617183916832,1.76807827549304,61.9851704632319,7
"36.3","Durif","budburst",NA,NA,NA,NA
"36.4","Durif","budburst",NA,NA,NA,NA
"36.5","Durif","budburst",NA,NA,NA,NA
"36.6","Durif","budburst",NA,NA,NA,NA
"36.7","Periquita","budburst",73.7094017094017,1.7017094017094,61.7974358974359,7
"36.8","Periquita","budburst",73.5974536797433,1.67125556360625,61.8986647344995,7
"36.9","Souzao","budburst",82.9222162203874,2.39486071456131,66.1581912184582,8
"36.10","Souzao","budburst",87.6338732470921,2.44428742254593,70.5238612892706,8
"37.1","Durif","budburst",NA,NA,NA,NA
"37.2","Teroldego","budburst",73.9522366347436,1.7143896229846,61.9515092738514,6
"37.3","Tinta Amarella","budburst",74.741348973607,1.68563049853372,62.941935483871,6
"37.4","Tinta Amarella","budburst",74.7208896641954,1.72045355429568,62.6777147841256,7
"37.5","Durif","budburst",NA,NA,NA,NA
"37.6","Tinta Barroca","budburst",73.8517213877443,1.62481722717001,62.4780007975542,7
"37.7","Tinta Cao","budburst",73.2125270337714,1.84486774247214,60.2984528364665,7
"37.8","Tinta Cao","budburst",72.5395799676898,1.91922455573506,59.1050080775444,7
"37.9","Tinta Carvalha","budburst",75.9620607889632,2.10756628583747,61.2090967881009,7
"37.10","Tinta Carvalha","budburst",82.3005480891959,2.31616487724304,66.0873939484946,8
"38.1","Tinta Francisca","budburst",81.1611129084439,2.22665803946943,65.5745066321579,8
"38.2","Tinta Francisca","budburst",77.8167314379219,1.9810799754551,63.9491716097361,7
"38.3","Tinta Madeira","budburst",73.290792800833,1.73270861222669,61.1618325152462,7
"38.4","Tinta Madeira","budburst",72.5898850217527,1.76918893722809,60.205562461156,7
"38.5","Touriga Nacional","budburst",75.2069692597936,1.74453445788481,62.9952280545999,7
"38.6","Touriga Nacional","budburst",74.0110517515599,1.82415072794747,61.2419966559276,7
"38.7","Verdelho","budburst",74.0562645914397,1.78902723735409,61.5330739299611,7
"38.8","Verdelho","budburst",75.1063105055576,1.91493366798136,61.7017748296881,7
"38.9","Durif","budburst",NA,NA,NA,NA
"38.10","Durif","budburst",NA,NA,NA,NA
"39.1","Thompson Seedless","budburst",75.2490534979424,1.83604938271605,62.3967078189301,7
"39.2","Thompson Seedless","budburst",74.1451612903226,1.753804017042,61.8685331710286,7
"39.3","Calzin","budburst",82.7639996901867,2.48509023313454,65.3683680582449,8
"39.4","Calzin","budburst",81.3449555370738,2.24035570340989,65.6624656132045,8
"39.5","Carmine","budburst",76.8555598755832,2.0018468118196,62.8426321928461,7
"39.6","Carmine","budburst",75.2972998851015,1.96447721179625,61.5459594025278,7
"39.7","Carnelian","budburst",80.035662019564,2.54294076869753,62.2350766386813,8
"39.8","Carnelian","budburst",74.4813762154076,1.75287958115183,62.2112191473448,7
"39.9","Centurion","budburst",74.7727024567789,1.89936305732484,61.477161055505,7
"39.10","Centurion","budburst",75.2050033579584,1.86039288112827,62.1822531900605,7
"40.1","Emerald Reisling","budburst",75.4453918722787,1.93078737300435,61.9298802612482,7
